file, cegist, add const, no si 
hd07.eqn_sygus_iter_41_1.ng.sl, 91 , 90 , 90 ,  
hd07.eqn_sygus_iter_43_1.ng.sl, 5 , 5 , 5 ,  
hd07.eqn_sygus_iter_45_0.ng.sl, 3010 , 3010 , 3015 ,  
hd07.eqn_sygus_iter_56_1.ng.sl, 13 , 12 , 13 ,  
hd07.eqn_sygus_iter_60_0.ng.sl, 12 , 11 , 12 ,  
hd07.eqn_sygus_iter_73_1.ng.sl, 3035 , 3033 , 3035 ,  
hd07.eqn_sygus_iter_84_1.ng.sl, 93 , 92 , 90 ,  
hd07.eqn_sygus_iter_84_2.ng.sl, 5 , 5 , 5 ,  
hd07.eqn_sygus_iter_85_0.ng.sl, 36008 , 37063 , 35077 ,  
hd08.eqn_sygus_iter_20_1.ng.sl, 2028 , 2054 , 2054 ,  
hd08.eqn_sygus_iter_33_2.ng.sl, 3014 , 3003 , 3012 ,  
hd08.eqn_sygus_iter_49_0.ng.sl, 9001 , 8066 , 8080 ,  
hd08.eqn_sygus_iter_59_0.ng.sl, 11 , 11 , 11 ,  
hd08.eqn_sygus_iter_6_1.ng.sl, 86 , 85 , 86 ,  
hd09.eqn_sygus_iter_106_0.ng.sl, timeout , timeout , timeout ,  
hd09.eqn_sygus_iter_14_2.ng.sl, 2020 , 2015 , 2018 ,  
hd09.eqn_sygus_iter_14_3.ng.sl, 10 , 10 , 10 ,  
hd09.eqn_sygus_iter_15_0.ng.sl, 2019 , 2020 , 2016 ,  
hd09.eqn_sygus_iter_28_1.ng.sl, timeout , timeout , timeout ,  
hd09.eqn_sygus_iter_30_0.ng.sl, 8085 , 8057 , 8075 ,  
hd09.eqn_sygus_iter_30_1.ng.sl, timeout , timeout , timeout ,  
hd09.eqn_sygus_iter_30_2.ng.sl, 5043 , 5049 , 5048 ,  
hd09.eqn_sygus_iter_35_1.ng.sl, 2 , 2 , 2 ,  
hd09.eqn_sygus_iter_35_2.ng.sl, timeout , timeout , timeout ,  
hd09.eqn_sygus_iter_44_1.ng.sl, 87 , 87 , 87 ,  
hd09.eqn_sygus_iter_45_0.ng.sl, 36018 , 35076 , 36014 ,  
hd09.eqn_sygus_iter_49_0.ng.sl, 9 , 9 , 9 ,  
hd09.eqn_sygus_iter_55_3.ng.sl, 7 , 7 , 7 ,  
hd09.eqn_sygus_iter_5_0.ng.sl, 89 , 90 , 89 ,  
hd09.eqn_sygus_iter_60_1.ng.sl, 9 , 9 , 9 ,  
hd09.eqn_sygus_iter_66_2.ng.sl, 87 , 86 , 87 ,  
hd09.eqn_sygus_iter_75_1.ng.sl, 89 , 89 , 91 ,  
hd09.eqn_sygus_iter_76_0.ng.sl, 36016 , 35078 , 35096 ,  
hd09.eqn_sygus_iter_80_0.ng.sl, 2 , 2 , 2 ,  
hd09.eqn_sygus_iter_81_0.ng.sl, 1034 , 1036 , 1033 ,  
hd09.eqn_sygus_iter_82_0.ng.sl, 2 , 2 , 2 ,  
hd09.eqn_sygus_iter_95_0.ng.sl, 10 , 10 , 9 ,  
hd09.eqn_sygus_iter_96_0.ng.sl, 2025 , 2024 , 2023 ,  
hd09.eqn_sygus_iter_9_1.ng.sl, 11 , 11 , 11 ,  
hd11.eqn_sygus_iter_23_1.ng.sl, 25096 , 25049 , 25048 ,  
hd11.eqn_sygus_iter_29_2.ng.sl, 6 , 5 , 5 ,  
hd11.eqn_sygus_iter_2_2.ng.sl, 6 , 5 , 5 ,  
hd11.eqn_sygus_iter_38_1.ng.sl, 10 , 10 , 9 ,  
hd11.eqn_sygus_iter_56_2.ng.sl, 8 , 8 , 9 ,  
insertion-3input.eqn_sygus_iter_11_1.ng.sl, 34063 , 33001 , 32083 ,  
insertion-3input.eqn_sygus_iter_24_1.ng.sl, timeout , timeout , timeout ,  
insertion-3input.eqn_sygus_iter_44_0.ng.sl, timeout , timeout , timeout ,  
insertion-3input.eqn_sygus_iter_46_1.ng.sl, 33024 , 33045 , 34040 ,  
insertion-3input.eqn_sygus_iter_74_1.ng.sl, timeout , timeout , timeout ,  
insertion-3input.eqn_sygus_iter_9_0.ng.sl, timeout , timeout , timeout ,  
longest_1bit-opt.eqn_sygus_iter_109_0.ng.sl, 1090 , 1088 , 1089 ,  
longest_1bit-opt.eqn_sygus_iter_116_1.ng.sl, 12 , 12 , 12 ,  
longest_1bit-opt.eqn_sygus_iter_118_0.ng.sl, timeout , timeout , timeout ,  
longest_1bit-opt.eqn_sygus_iter_124_1.ng.sl, 4 , 4 , 4 ,  
longest_1bit-opt.eqn_sygus_iter_129_0.ng.sl, 9089 , 10001 , 10017 ,  
longest_1bit-opt.eqn_sygus_iter_142_0.ng.sl, timeout , timeout , timeout ,  
longest_1bit-opt.eqn_sygus_iter_162_1.ng.sl, 10 , 10 , 11 ,  
longest_1bit-opt.eqn_sygus_iter_163_0.ng.sl, 70076 , 70073 , 70033 ,  
longest_1bit-opt.eqn_sygus_iter_17_1.ng.sl, 1027 , 1025 , 1025 ,  
longest_1bit-opt.eqn_sygus_iter_19_1.ng.sl, timeout , timeout , timeout ,  
longest_1bit-opt.eqn_sygus_iter_31_4.ng.sl, 5003 , 5010 , 5003 ,  
longest_1bit-opt.eqn_sygus_iter_32_3.ng.sl, 11 , 10 , 11 ,  
longest_1bit-opt.eqn_sygus_iter_3_1.ng.sl, 8 , 8 , 8 ,  
longest_1bit-opt.eqn_sygus_iter_43_1.ng.sl, 13049 , 13036 , 13047 ,  
longest_1bit-opt.eqn_sygus_iter_49_0.ng.sl, 2030 , 2030 , 2031 ,  
longest_1bit-opt.eqn_sygus_iter_54_2.ng.sl, 9 , 9 , 9 ,  
longest_1bit-opt.eqn_sygus_iter_59_2.ng.sl, timeout , timeout , timeout ,  
longest_1bit-opt.eqn_sygus_iter_63_1.ng.sl, 3070 , 3080 , 3070 ,  
longest_1bit-opt.eqn_sygus_iter_65_1.ng.sl, timeout , timeout , timeout ,  
longest_1bit-opt.eqn_sygus_iter_75_1.ng.sl, 3077 , 3074 , 3074 ,  
longest_1bit-opt.eqn_sygus_iter_85_2.ng.sl, 8 , 8 , 8 ,  
longest_1bit-opt.eqn_sygus_iter_87_2.ng.sl, timeout , timeout , timeout ,  
longest_1bit-opt.eqn_sygus_iter_88_1.ng.sl, 3096 , 4005 , 3099 ,  
longest_1bit-opt.eqn_sygus_iter_97_1.ng.sl, 20 , 20 , 20 ,  
longest_1bit-opt.eqn_sygus_iter_98_1.ng.sl, 62099 , 62007 , 61099 ,  
longest_1bit-opt.eqn_sygus_iter_9_0.ng.sl, 9 , 9 , 9 ,  
merge-8bit.eqn_sygus_iter_11_1.ng.sl, 33028 , 33040 , 33030 ,  
merge-8bit.eqn_sygus_iter_24_1.ng.sl, timeout , timeout , timeout ,  
merge-8bit.eqn_sygus_iter_44_0.ng.sl, timeout , timeout , timeout ,  
merge-8bit.eqn_sygus_iter_46_1.ng.sl, 33031 , 34056 , 32092 ,  
merge-8bit.eqn_sygus_iter_73_1.ng.sl, timeout , timeout , timeout ,  
merge-8bit.eqn_sygus_iter_9_0.ng.sl, timeout , timeout , timeout ,  
nlz-opt.eqn_sygus_iter_189_1.ng.sl, timeout , timeout , timeout ,  
odd_even_3input-opt.eqn_sygus_iter_10_1.ng.sl, timeout , timeout , timeout ,  
odd_even_3input-opt.eqn_sygus_iter_112_1.ng.sl, timeout , timeout , timeout ,  
odd_even_3input-opt.eqn_sygus_iter_12_1.ng.sl, 33000 , 33028 , 33044 ,  
odd_even_3input-opt.eqn_sygus_iter_132_0.ng.sl, timeout , timeout , timeout ,  
odd_even_3input-opt.eqn_sygus_iter_134_1.ng.sl, 33005 , 34025 , 34072 ,  
odd_even_3input-opt.eqn_sygus_iter_153_1.ng.sl, timeout , timeout , timeout ,  
odd_even_3input-opt.eqn_sygus_iter_191_0.ng.sl, timeout , timeout , timeout ,  
odd_even_3input-opt.eqn_sygus_iter_211_1.ng.sl, timeout , timeout , timeout ,  
odd_even_3input-opt.eqn_sygus_iter_246_0.ng.sl, timeout , timeout , timeout ,  
odd_even_3input-opt.eqn_sygus_iter_32_0.ng.sl, timeout , timeout , timeout ,  
odd_even_3input-opt.eqn_sygus_iter_34_1.ng.sl, 33021 , 33033 , 33002 ,  
odd_even_3input-opt.eqn_sygus_iter_52_0.ng.sl, timeout , timeout , timeout ,  
odd_even_3input-opt.eqn_sygus_iter_71_1.ng.sl, timeout , timeout , timeout ,  
odd_even_3input-opt.eqn_sygus_iter_90_0.ng.sl, timeout , timeout , timeout ,  
odd_even_3input-opt.eqn_sygus_iter_92_1.ng.sl, 32064 , 33026 , 33052 ,  
p03.eqn_sygus_iter_104_1.ng.sl, 5 , 5 , 5 ,  
p03.eqn_sygus_iter_118_1.ng.sl, 5 , 5 , 5 ,  
p03.eqn_sygus_iter_20_1.ng.sl, 5 , 5 , 5 ,  
p03.eqn_sygus_iter_24_2.ng.sl, 7 , 7 , 7 ,  
p03.eqn_sygus_iter_34_1.ng.sl, 5 , 5 , 5 ,  
p03.eqn_sygus_iter_38_2.ng.sl, 7 , 7 , 7 ,  
p03.eqn_sygus_iter_48_0.ng.sl, 5 , 5 , 5 ,  
p03.eqn_sygus_iter_52_2.ng.sl, 7 , 7 , 7 ,  
p03.eqn_sygus_iter_62_1.ng.sl, 5 , 5 , 5 ,  
p03.eqn_sygus_iter_6_1.ng.sl, 5 , 5 , 5 ,  
p03.eqn_sygus_iter_76_1.ng.sl, 5 , 5 , 5 ,  
p03.eqn_sygus_iter_90_1.ng.sl, 5 , 5 , 5 ,  
p09.eqn_sygus_iter_11_1.ng.sl, 5 , 5 , 5 ,  
p09.eqn_sygus_iter_18_1.ng.sl, 5 , 5 , 5 ,  
p09.eqn_sygus_iter_31_1.ng.sl, 5 , 5 , 5 ,  
p09.eqn_sygus_iter_37_1.ng.sl, 5 , 5 , 5 ,  
p09.eqn_sygus_iter_43_1.ng.sl, 5 , 5 , 5 ,  
p09.eqn_sygus_iter_49_1.ng.sl, 5 , 5 , 5 ,  
p09.eqn_sygus_iter_56_1.ng.sl, 5 , 5 , 5 ,  
p09.eqn_sygus_iter_5_1.ng.sl, 5 , 5 , 5 ,  
p15.eqn_sygus_iter_100_1.ng.sl, 30055 , 30025 , 30063 ,  
p15.eqn_sygus_iter_10_1.ng.sl, 30021 , 29089 , 29065 ,  
p15.eqn_sygus_iter_34_1.ng.sl, 30040 , 31076 , 31043 ,  
p15.eqn_sygus_iter_56_1.ng.sl, 30036 , 30057 , 30052 ,  
p15.eqn_sygus_iter_78_1.ng.sl, 30072 , 30072 , 30013 ,  
p16.eqn_sygus_iter_101_0.ng.sl, 32079 , 33052 , 32082 ,  
p16.eqn_sygus_iter_118_0.ng.sl, 32084 , 33056 , 33061 ,  
p16.eqn_sygus_iter_136_0.ng.sl, 33001 , 33051 , 33014 ,  
p16.eqn_sygus_iter_153_0.ng.sl, 33008 , 33002 , 33044 ,  
p16.eqn_sygus_iter_16_0.ng.sl, 30067 , 30032 , 31011 ,  
p16.eqn_sygus_iter_32_0.ng.sl, 33037 , 33070 , 33059 ,  
p16.eqn_sygus_iter_49_0.ng.sl, 33004 , 33027 , 33003 ,  
p16.eqn_sygus_iter_66_0.ng.sl, 33072 , 33069 , 33021 ,  
p16.eqn_sygus_iter_83_0.ng.sl, 33048 , 32089 , 33010 ,  
p17.eqn_sygus_iter_101_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_136_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_153_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_187_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_220_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_238_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_256_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_273_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_308_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_325_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_33_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_359_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_394_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_412_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_430_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_447_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_481_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_514_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_532_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_549_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_583_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_617_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_652_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_669_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_67_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_703_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_736_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_753_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_788_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_806_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_823_0.ng.sl, timeout , timeout , timeout ,  
p17.eqn_sygus_iter_856_0.ng.sl, timeout , timeout , timeout ,  
p19-8bit.eqn_sygus_iter_10_0.ng.sl, 4 , 4 , 4 ,  
p19-8bit.eqn_sygus_iter_18_0.ng.sl, 4 , 4 , 4 ,  
p19-8bit.eqn_sygus_iter_19_0.ng.sl, 11 , 11 , 11 ,  
p19-8bit.eqn_sygus_iter_25_0.ng.sl, 11 , 10 , 11 ,  
p19-8bit.eqn_sygus_iter_2_1.ng.sl, 4 , 4 , 4 ,  
p19-8bit.eqn_sygus_iter_7_0.ng.sl, 11 , 11 , 11 ,  
p19.eqn_sygus_iter_10_1.ng.sl, 5 , 5 , 5 ,  
p19.eqn_sygus_iter_114_0.ng.sl, 4 , 4 , 4 ,  
p19.eqn_sygus_iter_121_1.ng.sl, 5 , 5 , 5 ,  
p19.eqn_sygus_iter_124_0.ng.sl, 2 , 2 , 2 ,  
p19.eqn_sygus_iter_127_1.ng.sl, 3 , 3 , 3 ,  
p19.eqn_sygus_iter_145_0.ng.sl, 11 , 11 , 11 ,  
p19.eqn_sygus_iter_149_0.ng.sl, 4 , 4 , 4 ,  
p19.eqn_sygus_iter_14_0.ng.sl, 11 , 11 , 11 ,  
p19.eqn_sygus_iter_158_0.ng.sl, 2 , 2 , 2 ,  
p19.eqn_sygus_iter_163_2.ng.sl, 13090 , 13059 , 14027 ,  
p19.eqn_sygus_iter_29_0.ng.sl, 10 , 10 , 10 ,  
p19.eqn_sygus_iter_42_1.ng.sl, 5 , 5 , 5 ,  
p19.eqn_sygus_iter_48_0.ng.sl, 3 , 3 , 3 ,  
p19.eqn_sygus_iter_50_1.ng.sl, 5 , 5 , 5 ,  
p19.eqn_sygus_iter_54_0.ng.sl, 10 , 10 , 10 ,  
p19.eqn_sygus_iter_58_1.ng.sl, 5 , 5 , 5 ,  
p19.eqn_sygus_iter_68_0.ng.sl, 10 , 10 , 10 ,  
p19.eqn_sygus_iter_72_1.ng.sl, 5 , 5 , 5 ,  
p19.eqn_sygus_iter_79_0.ng.sl, 3 , 3 , 3 ,  
p19.eqn_sygus_iter_8_1.ng.sl, 9 , 9 , 9 ,  
p19.eqn_sygus_iter_98_0.ng.sl, 5 , 5 , 5 ,  
p20-8bit.eqn_sygus_iter_6_0.ng.sl, 5 , 5 , 5 ,  
p20.eqn_sygus_iter_23_0.ng.sl, 7 , 7 , 7 ,  
p20.eqn_sygus_iter_35_0.ng.sl, 9 , 9 , 9 ,  
p20.eqn_sygus_iter_50_1.ng.sl, 8033 , 8046 , 8032 ,  
p20.eqn_sygus_iter_6_0.ng.sl, 11 , 11 , 11 ,  
p20.eqn_sygus_iter_89_0.ng.sl, 11 , 11 , 11 ,  
sorting_naive-opt.eqn_sygus_iter_111_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_127_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_143_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_15_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_160_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_175_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_175_1.ng.sl, 3074 , 4000 , 3092 ,  
sorting_naive-opt.eqn_sygus_iter_176_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_190_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_207_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_222_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_237_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_254_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_272_1.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_286_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_305_1.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_306_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_30_1.ng.sl, 11 , 11 , 11 ,  
sorting_naive-opt.eqn_sygus_iter_31_0.ng.sl, 2045 , 2019 , 2018 ,  
sorting_naive-opt.eqn_sygus_iter_321_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_339_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_356_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_375_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_391_1.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_427_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_442_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_442_1.ng.sl, 4000 , 3079 , 3093 ,  
sorting_naive-opt.eqn_sygus_iter_443_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_458_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_460_1.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_477_1.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_477_2.ng.sl, 3083 , 3079 , 3077 ,  
sorting_naive-opt.eqn_sygus_iter_49_1.ng.sl, 3085 , 4000 , 3086 ,  
sorting_naive-opt.eqn_sygus_iter_49_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_65_1.ng.sl, 3097 , 4000 , 4012 ,  
sorting_naive-opt.eqn_sygus_iter_65_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_77_3.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_80_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive-opt.eqn_sygus_iter_95_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_112_3.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_112_4.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_128_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_129_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_130_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_13_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_147_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_147_3.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_167_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_182_1.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_199_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_215_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_229_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_242_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_256_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_275_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_289_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_29_3.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_304_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_304_1.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_319_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_334_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_349_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_366_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_385_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_400_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_419_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_433_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_449_2.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_465_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_46_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_482_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_497_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_514_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_528_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_546_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_559_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_574_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_589_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_603_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_617_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_630_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_63_1.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_643_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_658_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_674_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_690_0.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_77_3.ng.sl, timeout , timeout , timeout ,  
sorting_naive.eqn_sygus_iter_94_2.ng.sl, timeout , timeout , timeout ,  
DRAGON_1.lus.ng.sl, 27 , 12 , 12 ,  
DRAGON_10.lus.ng.sl, timeout , 35063 , 29087 ,  
DRAGON_10_e1_3587_e3_2749.lus.ng.sl, timeout , 35061 , 26077 ,  
DRAGON_10_e1_998.lus.ng.sl, timeout , 34069 , 24057 ,  
DRAGON_10_e2_2785_e3_1744.lus.ng.sl, timeout , 41011 , 27057 ,  
DRAGON_10_e2_402.lus.ng.sl, timeout , 33056 , 25003 ,  
DRAGON_10_e3_144_e5_2046.lus.ng.sl, timeout , 36054 , 25000 ,  
DRAGON_10_e3_3429.lus.ng.sl, timeout , 35039 , 27085 ,  
DRAGON_12.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_12_e2_1618.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_12_e2_1618_e1_6030.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_12_e2_1618_e2_138.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_12_e2_1618_e3_2012.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_13.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_13_e3_1418_e3_2761.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_1_e1_14612_e1_268_e7_501.lus.ng.sl, 29 , 19 , 19 ,  
DRAGON_1_e1_14612_e2_2653_e7_4370.lus.ng.sl, 27 , 14 , 14 ,  
DRAGON_1_e1_3184_e7_1888.lus.ng.sl, 29 , 19 , 19 ,  
DRAGON_1_e1_5070.lus.ng.sl, 28 , 15 , 15 ,  
DRAGON_1_e2_1997.lus.ng.sl, 29 , 15 , 15 ,  
DRAGON_1_e2_1997_e7_3613_e2_3409.lus.ng.sl, 28 , 19 , 19 ,  
DRAGON_1_e3_11891_e7_4569_e4_4881.lus.ng.sl, 29 , 19 , 19 ,  
DRAGON_2.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_2_e1_2316.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_2_e2_3183_e1_2644.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_2_e2_3183_e2_3580.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_2_e2_3183_e3_5972.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_2_e2_4481.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_2_e7_25_e8_3171.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_3.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_3_e1_4783.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_3_e1_4783_e1_3755.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_3_e1_4783_e2_158.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_3_e1_4783_e3_511.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_3_e2_5343_e1_988.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_3_e3_3846.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_3_e3_5422_e1_2288.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_3_e3_5422_e2_3135.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_4.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_4_e1_4312.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_4_e2_2799.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_4_e2_2799_e1_1303.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_4_e2_2799_e2_2251.lus.ng.sl, timeout , timeout , timeout ,  
DRAGON_4_e2_2799_e3_1915.lus.ng.sl, timeout , timeout , timeout ,  
